Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
Total 809 item(s)			$1,251.02	$1,231.88	$29,381.64	23.49	4.25%	$0.66	1,909	2,412	1,666,907	58,158	3.48%	3.28%	9,463	$27,597.63	22.40	4.46%	$0.69	1,797	2,282
5 Core DJ Light Stand Tripod with 79" Crossbar 6 Light Points Adjustable 169.5" Stage Lighting Stand	610414356172006		$5.08	$5.08	$94.98	18.70	5.34%	$2.54	2	2	2,148	49	2.28%	4.08%	8	$94.98	18.70	5.34%	$2.54	2	2
5 Core DJ Light Stand Tripod with 79" Crossbar 6 Light Points Adjustable 169.5" Stage Lighting Stand	610964111988643		$47.53	$47.53	$485.84	10.22	9.78%	$3.97	12	16	10,388	362	3.48%	3.31%	69	$463.85	9.76	10.24%	$4.33	11	15
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	610111561005301	SPKN BLU 4PCS	$0.28	$0.28	$2.33	8.32	12.01%	$0.28	1	1	1,179	24	2.03%	4.16%	4	$2.33	8.32	12.01%	$0.28	1	1
5 Core Drum Throne with Backrest 4" Padded Seat Adjustable Drummer Stool	610111561007861	DS CH PNK REST-LVR	$8.09	$8.09	$62.10	7.68	13.02%	$8.09	1	1	443	8	1.80%	12.50%	0	$62.10	7.68	13.02%	$8.09	1	1
5Core Phone Charging Pad Pair	610661316829732	CDKW04 WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	27	1	3.70%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Podcast Recording Microphone Set Cardioid Mic Kit	610523877842835	RM 8 BG	$108.33	$105.83	$1,174.91	10.85	9.22%	$2.13	51	51	74,554	2,015	2.70%	2.53%	329	$989.78	9.35	10.69%	$2.47	43	43
5 Core Guitar Stool 3.15" Padded Chair Foldable Music Seat w Built in Foot Rest Guitar Stand	610626957101455	GSTOOL PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	43	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 2 Inch Diaphragm Replacement 10 Pcs Phenolic Voice Coil 51mm + Kapton Former Diameter Horn	610489518156529		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Connector 2 Pair Male Female to 1/4 Audio Jack 3 Pin Secure Mic Plug w Locking Ends	610077201243462		$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	2,254	49	2.17%	0.00%	4	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Wall Mount Hanger Adjustable Display Wall Hook Holder Hard Wood Base	610764396044281		$12.73	$12.73	$129.90	10.20	9.79%	$0.67	19	50	8,491	171	2.01%	11.11%	57	$129.90	10.20	9.79%	$0.67	19	50
5 Core Microphone Wireless Karaoke Mic With Speaker 3 in 1 Portable Bluetooth Microfono Inalambrico	610077201295761		$229.11	$227.80	$2,046.40	8.93	11.19%	$0.63	366	435	331,153	9,538	2.88%	3.83%	2,218	$1,980.54	8.69	11.50%	$0.65	352	421
5 Core Keyboard Bench 3" Padded Stool Adjustable Seat	610910424936143	KBB BR HD	$0.00	$0.00	$571.85	∞	0.00%	$0.00	23	31	8,486	296	3.48%	7.77%	74	$260.07	∞	0.00%	$0.00	13	14
5Core Microphone Dynamic Handheld Mic for Karaoke Singing	610635547000303	ND 235X	$0.00	$0.00	$23.59	∞	0.00%	$0.00	3	3	794	30	3.77%	10.00%	8	$15.29	∞	0.00%	$0.00	2	2
5 Core 10 Inch Subwoofer Pair Car Audio Sub Woofer 4 Ohm	610661316844068	WF 10120 4OHM 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo Acoustic Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele	602678222490078	CAPO BLUE 1Pc	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	199	7	3.51%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4" Padded Seat Height Adjustable Drummer Stool	602544004787112	DS CH WH REST-LVR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	603093760584281	SPKN BLU 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tablet Floor Stand 360° Rotatable Adjustable Overhead Universal Bed Phone iPad Stand	602492465172626		$0.00	$0.00	$32.98	∞	0.00%	$0.00	2	2	635	21	3.30%	9.52%	3	$32.98	∞	0.00%	$0.00	2	2
5 Core Tablet Floor Stand 360° Rotatable Adjustable Overhead Universal Bed Phone iPad Stand	602492465170984		$0.04	$0.04	$33.92	848.00	0.11%	$0.02	2	2	297	13	4.37%	15.38%	5	$33.92	848.00	0.11%	$0.02	2	2
5Core Cell Phone Stand for Desk Adjustable Scissor Boom Arm Stands Tablet Cellphone	602355026240744		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	180	2	1.11%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Cell Phone Stand for Desk Adjustable Scissor Boom Arm Stands Tablet Cellphone	603042221028937		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	109	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Car Subwoofer PAIR 8 "200W Speaker Loud Audio 4Ohm Deep Bass Sub Woofer	602243357050858	WF 8120 4 OHM 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	115	7	6.08%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602312076558270	GSTOOL L- GR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	174	8	4.59%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	602312076544051	GSTOOL OVAL GR REST	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	541	17	3.14%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602861832373731	GSTOOL GR	$0.06	$0.06	$0.00	0.00	0.00%	$0.00	0	0	90	1	1.11%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Chair w Backrest Foldable Music Seat w Foot Rest and Guitar Stand	602294896671701	GSTOOL OVAL PNK REST	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	57	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602861832384731	GSTOOL L- ORG	$0.04	$0.04	$0.00	0.00	0.00%	$0.00	0	0	76	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602861832399846	SPKN ADP BLU 2PCS	$1.70	$1.70	$14.05	8.26	12.09%	$0.85	2	5	599	14	2.33%	14.28%	4	$14.05	8.26	12.09%	$0.85	2	5
5 Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602312076558729	SPKN ADP ORG 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	288	8	2.77%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speakon Adapter Audio Jack Male Audio Pin Speaker Adapter Connector	602861832345457	SPKN ADP YLW 2PCS	$1.03	$1.03	$14.05	13.64	7.33%	$0.35	3	5	1,529	42	2.74%	7.14%	5	$14.05	13.64	7.33%	$0.35	3	5
5 Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602861832387330	SPKN ADP GRN 2PCS	$2.39	$2.39	$19.67	8.23	12.15%	$0.80	3	7	1,382	50	3.61%	6.00%	13	$19.67	8.23	12.15%	$0.80	3	7
5 Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602312076583419	SPKN ADP RED 2PCS	$14.12	$14.12	$126.45	8.96	11.16%	$0.71	20	45	12,154	356	2.92%	5.61%	86	$120.83	8.56	11.68%	$0.75	19	43
5CORE Keyboard Bench Piano Stool Thick Padded Seat Height Adjustable Keyboard Chair	603094834346353	KBB H-ADJ BR	$0.10	$0.10	$0.00	0.00	0.00%	$0.00	0	0	169	6	3.55%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4" Padded Height Adjustable Drummer Stool	602991755116103	DS CH RED REST-LVR	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	41	2	4.87%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4" Padded Height Adjustable Drummer Stool	603129194110911	DS CH BLU REST-LVR	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	44	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4" Padded Seat Height Adjustable Drummer Stool	603093760636085	DS CH BLK REST-LVR	$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	34	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4" Padded Seat Height Adjustable Drummer Stool	602406565819465	DS CH GR REST-LVR	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	67	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Throne 3 Inch Padded Drummer Stool Height Adjustable	603227978312710	DS CH BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	603219388419140		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	292	1	0.34%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	603219388374505		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	380	7	1.84%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602944510463782		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	172	2	1.16%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	602394754695311		$2.22	$2.22	$18.64	8.40	11.90%	$2.22	1	8	1,067	13	1.21%	7.69%	3	$18.64	8.40	11.90%	$2.22	1	8
5 Core Drum Throne Padded Guitar Stool Saddle Drummer Seat	602871496069292	DS CH YLW SDL HD	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	164	6	3.65%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4" Padded Height Adjustable Drummer Stool	602716877241312	DS CH BR REST-LVR	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	70	1	1.42%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 1 Way Passive Cross Over Network Frequency Divider Metalised Polyester Capacitors	602321740255189	NW 05	$0.00	$0.00	$1.07	∞	0.00%	$0.00	1	1	5,512	311	5.64%	0.32%	29	$1.07	∞	0.00%	$0.00	1	1
5 Core Guitar Amp 20 Watt Amplifier w 6.5" Speaker EQ	603129194107412	GA 20W GL BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	149	3	2.01%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch Subwoofer Car Audio Woofer 4Ohm Replacement Deep Bass Loud Speaker	603129194066982	WF 8 120 PP 4OHM	$0.48	$0.48	$33.20	69.17	1.44%	$0.24	2	2	1,404	96	6.83%	2.08%	11	$18.02	37.54	2.66%	$0.48	1	1
Wireless Karaoke Microphone Pair with Speaker and BT Connectivity	603129194063226	WM SPK BLK+BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 6x9 Car Speaker Pair 800W 4Ohm 2 Way Coaxial Speaker Audio w Super Tweeter Fit for Vehicle	602991755153934	CS 69 2W WoG	$0.00	$0.00	$473.52	∞	0.00%	$0.00	20	21	20,115	746	3.70%	2.68%	98	$451.53	∞	0.00%	$0.00	19	20
5 Core Drum Throne with Backrest 4" Padded Seat Height Adjustable Drummer Stool	602991755135151	DS CH PNK REST-LVR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Karaoke Microphone Pair with Speaker and BT Connectivity	602579438244715	WM SPK BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 3" Padded Height Adjustable Guitar Stool Drummer Chair 200 lb Capacity Seat	602572995819121	DS BLKCH VEL BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	98	1	1.02%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone Speaker 30W Handheld Long Range Bullhorn for Sports Activities Crowd Guidance	602545078553126		$1.98	$1.98	$49.48	24.99	4.00%	$0.40	5	5	2,690	125	4.64%	4.00%	30	$49.48	24.99	4.00%	$0.40	5	5
5 Core Ukulele Stand A Frame Metal Body w Soft Padded Arms Support Banjo Ukuleles Mini Guitar Violin	602273245718364	GSS UKU	$0.00	$0.00	$13.90	∞	0.00%	$0.00	1	2	283	6	2.12%	16.66%	1	$13.90	∞	0.00%	$0.00	1	2
5Core AC Power Cord 2Pc 10Ft 3 Prong US Male to Female Extension Adapter 16AWG/2C 125V 13A	602484848316987	PL 1002 2 Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core AC Power Cord 6Ft 3 Prong US Male to Female Extension Adapter 18AWG 10A 7A 125V	602471518821305	PL 1001 2 Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Amp 20 Watt Amplifier w 6.5" Speaker EQ	602441999348270	GA 20W BLK-WH	$0.00	$0.00	$35.99	∞	0.00%	$0.00	1	1	268	11	4.10%	9.09%	1	$35.99	∞	0.00%	$0.00	1	1
