ad_type,campaignName,adGroupName,state,defaultBid,campaign_id,ad_group_id,pulled_at
SPONSORED_PRODUCTS,,PARENT 04 WF KW 2 AG,ENABLED,0.60,27486788426172,10081195320305,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT 04 WF KW,PARENT 04 WF KW AG,ENABLED,0.60,59164358881240,79111355179257,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT ALLIGATOR PT,PARENT ALLIGATOR PT AG,ENABLED,0.60,189491239257066,382448645055505,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT C-CHARGER KW AG,ENABLED,0.60,83481126926433,63322911858880,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT C-CHARGER PT,PARENT C-CHARGER PT AG,ENABLED,0.60,56598785245189,374757911491949,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT CD 2Pcs KW.,PARENT CD 2Pcs KW AG,ENABLED,0.60,20308069189560,163808722208854,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT CD 2PCS KW AG,ENABLED,0.60,268615763722087,246066853609992,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT CL 2W KW,PARENT CL 2W KW AG,ENABLED,0.60,59573640092054,152775204492630,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT CLR MIC PT,PARENT CLR MIC PT AG,ENABLED,0.60,191082881250446,479721745874620,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT DP 1 PT,PARENT DP 1 PT AG,ENABLED,0.60,145889079906604,327403983900397,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT DP 200 PT,PARENT DP 200 PT AG,ENABLED,0.60,21007623147718,470717889597475,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT ET KW AG,ENABLED,0.60,57381028207900,197765536829345,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT ET PT AG,ENABLED,0.60,31994958747591,335410681767054,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT G PICK PT,PARENT G PICK PT AG,ENABLED,0.60,46670506856875,306134555465182,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT GFF TP PT,PARENT GFF TP PT AG,ENABLED,0.60,43804804126946,300306526278011,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT GS EL POWER KW AG,ENABLED,0.60,96584664328552,86751243433596,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT GSS UKU PT,PARENT GSS UKU PT AG,ENABLED,0.60,64884242926124,405098444238704,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT GUITAR STRING KW 2 AG,ENABLED,0.60,3200848091809,99754055097729,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT HISE KW AG,ENABLED,0.60,24875218287492,128328259636652,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HISE PT,PARENT HISE PT AG,ENABLED,0.60,63290729497210,443230278074802,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN /DU KW,PARENT HORN /DU KW AG,ENABLED,0.60,216504035232418,175185096709518,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN /DU PT,PARENT HORN /DU PT AG,ENABLED,0.60,24301465895265,340197891238441,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN 405 8PCS KW,PARENT HORN 405 8PCS KW AG,ENABLED,0.60,231816986122219,114248302923964,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN 405 8PCS PT,PARENT HORN 405 8PCS PT AG,ENABLED,0.60,56388317242589,314339811018093,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN 508 2PCS PT,PARENT HORN 508 2PCS PT AG,ENABLED,0.60,137693544953515,491582290091391,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN 508 4PCS PT,PARENT HORN 508 4PCS PT AG,ENABLED,0.60,71830702458282,516671087254407,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN 508 8PCS PT,PARENT HORN 508 8PCS PT AG,ENABLED,0.60,172451006695661,555184848980510,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN,PARENT HORN AG,ENABLED,0.50,146541043832731,459352460504966,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN KW,PARENT HORN KW AG,ENABLED,0.60,134717383008723,50559287303143,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT HORN PT,PARENT HORN PT AG,ENABLED,0.60,211992843451470,428611240077753,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT LS CRANK KW,PARENT LS CRANK KW AG,ENABLED,0.60,185069598933614,274157196231633,2026-09-19 16:57:30
SPONSORED_PRODUCTS,PARENT M-CHARGER PT,PARENT M-CHARGER PT AG,ENABLED,0.60,277779882884995,343696348521648,2026-09-19 16:57:30
SPONSORED_PRODUCTS,,PARENT M-HOLDER KW AG,ENABLED,0.60,120026684451261,64353022110130,2026-09-19 16:57:30
