ad_type,campaignName,adGroupName,state,defaultBid,campaign_id,ad_group_id,pulled_at
SPONSORED_BRANDS,"CAR WOOFER HL","Ad group - 5/1/2026 01:46:17.134",ENABLED,,251836717537888,508673481920178,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"CAR SPEAKER HL","CAR SPEAKER HL",ENABLED,,116673232826781,348156844477408,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"CONGO HL","CONGO HL",ENABLED,,99973944456376,300657345668618,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"DJ RACK HL","DJ RACK HL",ENABLED,,198191260216831,474638226179763,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"DJ STAND HL","DJ STAND HL",ENABLED,,87978936106032,403138639843715,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"DRUM MIC HL","DRUM MIC HL",ENABLED,,197807158325269,483707105225909,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"DRUM THRONE 2 HL","DRUM THRONE 2 HL",ENABLED,,264993030908380,307842783449021,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"DRUM THRONE HL","DRUM THRONE HL",ENABLED,,63465644820972,382474081371366,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"GRACK HL","GRACK HL",ENABLED,,21420057558852,416553970226184,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"GUITAR STAND 2 HL","GUITAR STAND 2 HL",ENABLED,,89071085247937,371289141857305,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"GUITAR STAND HL","GUITAR STAND HL",ENABLED,,239477275711894,505184067230479,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"GUITAR STOOL HL","GUITAR STOOL HL",ENABLED,,57980386925392,448695995506443,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"KEYBOARD ST BENCH HL","KEYBOARD ST BENCH HL",ENABLED,,126301266394279,524769405441061,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"KEYBOARD STAND 1 HL","KEYBOARD STAND 1 HL",ENABLED,,238952695254960,292268755444799,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"KEYBOARD STAND HL","KEYBOARD STAND HL",ENABLED,,20294112855896,289859974029585,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"MIC STAND 1 HL","MIC STAND 1 HL",ENABLED,,8508337090416,456228633167459,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"MIC STAND 2 HL","MIC STAND 2 HL",ENABLED,,65997542382601,357745772124305,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"MIC STAND HL","MIC STAND HL",ENABLED,,206319980762508,391442633895875,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"MUSIC STAND HL","MUSIC STAND HL",ENABLED,,756798532720,422223580153586,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT 12 SP HEAD","PARENT 12 SP HEAD",ENABLED,,232967257553791,296118558984291,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT 15 FR HEAD","PARENT 15 FR",ENABLED,,206650255586266,324904145609300,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT 15 CW HEAD","PARENT 15 WF HEAD",ENABLED,,148437186889433,493005682262663,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT CAR SPEAKER HEAD","PARENT CAR SPEAKER",ENABLED,,145661695277628,508019686121757,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT DPAD HEAD","PARENT DPAD HEAD",ENABLED,,164350679211229,424550741574315,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT DRUM MIC 7 HEAD","PARENT DRUM MIC 7",ENABLED,,436302287856409,342762279787127,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT DRUM MIC E7 HEAD","PARENT DRUM MIC E7",ENABLED,,130598533181730,542222552634111,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT DRUM MIC E9 HEAD","PARENT DRUM MIC E9",ENABLED,,134613510616550,532422630441380,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT DS 01 HEAD","PARENT DS 01",ENABLED,,352682222387785,319626080221562,"2026-09-19 16:57:31"
SPONSORED_BRANDS,"PARENT DS BLKCH HEAD","PARENT DS BLKCH",ENABLED,,487083938752373,465108170022119,"2026-09-19 16:57:31"
