error_type,sku
"Shopify variant mapping not found","WF 890 SLV"
"Shopify variant mapping not found","WF 12 140 PP 4OHM"
"Shopify variant mapping not found","WF 12120 4OHMS"
"Shopify variant mapping not found","WF 12 140 PP 4OHM 2PCS"
"Shopify variant mapping not found","FR 15 156"
"Shopify variant mapping not found","FR 15 170"
"Shopify variant mapping not found","ACCESORIES"
"Shopify variant mapping not found","LS 100-6 RED"
"Shopify variant mapping not found","LS 100-6 WH"
"Shopify variant mapping not found","LS 144 6 BLK"
"Shopify variant mapping not found","LS 144 6 BLK WHLS"
"Shopify variant mapping not found","DM 9ACC BLK"
"Shopify variant mapping not found","DM 9ACC BLU"
"Shopify variant mapping not found","DM 9ACC GREEN"
"Shopify variant mapping not found","DM 9ACC RED"
"Shopify variant mapping not found","DM 9ACC SLV"
"Shopify variant mapping not found","DM 9ACC YLW"
"Shopify variant mapping not found","DS CH MAGA"
"Shopify variant mapping not found","DT AH  BLU"
"Shopify variant mapping not found","DT AH BLK"
"Shopify variant mapping not found","DT AH CHRY"
"Shopify variant mapping not found","DT AH CML BR"
"Shopify variant mapping not found","DT AH GRN"
"Shopify variant mapping not found","DT AH ORG"
"Shopify variant mapping not found","DT AH RED"
"Shopify variant mapping not found","DT AH YLW"
"Shopify variant mapping not found","G PICK MIX RED 20PK"
"Shopify variant mapping not found","GH ABS YLW"
"Shopify variant mapping not found","KS Z1 BLK HD WHLS+2T ECO"
"Shopify variant mapping not found","KS Z1 BLK HD+2T"
"Shopify variant mapping not found","HW 15 WP BLU"
"Shopify variant mapping not found","MS 080 Short"
"Shopify variant mapping not found","MS SQBL"
"Shopify variant mapping not found","PNB 480 RED"
"Shopify variant mapping not found","bass tube 08-01"
"Shopify variant mapping not found","CLASSIC TONE"
"Shopify variant mapping not found","combo CL  + Amp"
"Shopify variant mapping not found","Combo PA Horn"
"Shopify variant mapping not found","computer spk"
"Shopify variant mapping not found","DJ Lgt Stand Array"
"Shopify variant mapping not found","DU 100 XT"
"Shopify variant mapping not found","FUSION SET"
"Shopify variant mapping not found","MUS MH Hand"
"Shopify variant mapping not found","POWER TONE"
"Shopify variant mapping not found","rack stand covered"
"Shopify variant mapping not found","RH 16 DU"
"Shopify variant mapping not found","RH 18 DU"
"Shopify variant mapping not found","SUH 150 XT"
"Shopify variant mapping not found","TV soundbar"
"Shopify variant mapping not found","UHC 150 XT"
"Shopify variant mapping not found","UHC 300 XT"
"Shopify variant mapping not found","UHC 400 XT"
"Shopify variant mapping not found","ULTRA FLEX"
"Shopify variant mapping not found","WF 12170 4OHM"
"Shopify variant mapping not found","WF 12170 4OHM 2PCS"
"Shopify rate limit during variant lookup","DM 7ACC SLV"
"Shopify rate limit during variant lookup","DT WIDE REST BRWN"
"Shopify rate limit during variant lookup","GA 20W BLK-WH"
"Shopify rate limit during variant lookup","GSS BLU"
"Shopify rate limit during product fetch","PS WHLS WH"
"No Shopify bullets detected, HTML exists","1/4M-3/8M Camera Screw 5Pcs"
"No Shopify bullets detected, HTML exists","DS CH WH"
"No Shopify bullets detected, HTML exists","G PICK L R 12PK"
"No Shopify bullets detected, HTML exists","KS 2T WH"
"No Shopify bullets detected, HTML exists","MS 080 SKY BLU 2 PCS"
"No Shopify bullets detected, HTML exists","NW 05 2PCS"
"No Shopify bullets detected, HTML exists","NW 05 4PCS"
"No Shopify bullets detected, empty Shopify body HTML","GSTOOL GR"
"No Shopify bullets detected, empty Shopify body HTML","GSTOOL L- GR"
"No Shopify bullets detected, empty Shopify body HTML","GSTOOL L- ORG"
"No Shopify bullets detected, empty Shopify body HTML","GSTOOL OVAL GR REST"
"No Shopify bullets detected, empty Shopify body HTML","GSTOOL RND GR REST"
"No Shopify bullets detected, empty Shopify body HTML","GSTOOL RND PNK REST"
"No Shopify bullets detected, empty Shopify body HTML","MC-01 2 PCS"
"No Shopify bullets detected, empty Shopify body HTML","MC 02 6PCS"
