sku,name,price,sale_price,availability,units_sold_30d,ad_revenue_30d,ad_spend_30d
49720818139373,"5 Core Drum Throne w Backrest 4"" Padded Stool Airlift Adjustable Drummer Chair",$214.00,$97.99,"out of stock",19,936.53,95.92
48273411899629,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$108.00,$59.99,"in stock",11,266.69,94.95
48273398628589,"5 Core Drum Throne 4"" Padded Saddle Seat Heavy Duty Adjustable Drumming Chair",$96.00,$41.99,"in stock",10,430.87,83.59
49080656167149,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$108.00,$69.99,"in stock",8,175.26,124.22
48859336933613,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$206.00,$102.99,"in stock",7,285.66,113.78
48273408164077,"5 Core Double Guitar Stand A Frame Shape w Foam Arms Supports Acoustic Electric Bass Ukulele Banjo",$51.00,$25.49,"in stock",6,70.11,3.16
48273411866861,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$128.00,$65.99,"in stock",6,215.74,52.68
48273394499821,"5 Core Drum Throne 5"" Padded Drummer Seat Adjustable Drumming Chair w Luxury Velvet Top",$100.00,$47.98,"in stock",5,139.10,14.73
48273395908845,"5 Core Drum Throne 4"" Padded Seat w Backrest Airlift Adjustable Chair Ergonomic Drummer Stool",$186.00,$92.99,"in stock",5,192.73,68.73
48273394434285,"5 Core Drum Throne 5"" Padded Drummer Seat Adjustable Drumming Chair w Luxury Velvet Top",$106.00,$52.99,"out of stock",4,107.97,26.40
48273400168685,"5 Core Drum Throne 5"" Padded Split Spine Support 4 Legged 441Lb Capacity Drummer Stool",$274.00,$136.99,"out of stock",4,208.99,8.87
48273408000237,"5 Core Double Guitar Stand A Frame Shape w Foam Arms Supports Acoustic Electric Bass Ukulele Banjo",$52.00,$27.99,"in stock",4,50.94,10.77
48273409114349,"5 Core Double Guitar Stand A Frame Shape w Foam Arms Supports Acoustic Electric Bass Ukulele Banjo",$50.00,$22.99,"in stock",4,43.60,20.05
48429786005741,"5 Core Piano Bench 3"" Padded Cushioned Stool w Backrest Heavy Duty Musician Chair Height Adjustable",$120.00,$59.99,"in stock",4,125.97,25.16
49080585388269,"5 Core Guitar Stool w Backrest 3.15"" Padded Chair Foldable Music Seat Built in Foot Rest Guitar Stand",$112.00,$58.99,"in stock",4,95.99,11.77
122161541240706490,"Pro 9-Piece Drum Mic Kit",,,,3,124.77,8.41
122161541294706490,"Choose Your Color – Red",,,,3,118.98,7.48
48273409245421,"5 Core Guitar Stand A Frame w Soft Foam Arm Non Slip Rubber for Acoustic Electric Bass",$29.00,$15.16,"in stock",3,69.66,17.42
48429780205805,"5 Core Keyboard Bench 3 Inch Padded Piano Stool Adjustable 20.5"" Guitar Seat Heavy Duty Portable",$70.00,$34.99,"in stock",3,54.98,3.92
