State	Campaign name	Campaign budget amount (converted)	Campaign budget amount	Clicks	CTR	Total cost (converted)	Total cost	CPC (converted)	CPC	Purchases	Sales (converted)	Sales	ACOS
PAUSED	PM 100 KW	$30.00	$30.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	MS RBP 3T 2PCS KW	$20.00	$20.00	16	0.0033	$13.99	$13.99	$0.87	$0.87	2	$107.98	$107.98	0.1296
PAUSED	KS Z1 BLK HD KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	KS Z1 ECO WH WHLS KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
ENABLED	DS VEL RED REST-LVR KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	PARENT GRDN SPK MC KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	MS DBL G WH KW.	$5.00	$5.00	6	0.0101	$2.74	$2.74	$0.46	$0.46	0	$0.00	$0.00	0
PAUSED	DS VEL BLU REST-SWL KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	LS 110 CRANK KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	WF 10120 4OHM 2PCS KW	$5.00	$5.00	3	0.033	$1.40	$1.40	$0.47	$0.47	0	$0.00	$0.00	0
PAUSED	DS VEL BLK REST-SWL KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	FOG 2500 KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
ENABLED	GFF TP BRWN 4pcs KW	$5.00	$5.00	1	0.025	$0.50	$0.50	$0.50	$0.50	0	$0.00	$0.00	0
PAUSED	GSH 2N1 KW	$5.00	$5.00	23	0.0034	$13.56	$13.56	$0.59	$0.59	1	$36.99	$36.99	0.3666
PAUSED	GRDNSPK MC GRY 2PCS KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	ACTIVE HOME 10 2-MIC 2PCS KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	GRDNSPK MC GRY 4PCS KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	FR 15200 23 AL KW	$5.00	$5.00	40	0.0187	$12.55	$12.55	$0.31	$0.31	0	$0.00	$0.00	0
PAUSED	DP1 50PCS KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	WST 04-11 PAIR KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	PARENT SS CRANK KW	$5.00	$5.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	WF 10140 4OHM 2PCS KW	$4.00	$4.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	LS 100 KW	$4.00	$4.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	GFF TP GRY FBA KW	$3.00	$3.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	GFF TP GRY 4pcs KW	$3.00	$3.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	TABLA MIC 2XP COPPEREX fba KW	$3.00	$3.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
ENABLED	DU 40W KW	$3.00	$3.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
PAUSED	SPKN BGO 6PK FBA KW	$3.00	$3.00	0	0	$0.00	$0.00	$0.00	$0.00	0	$0.00	$0.00	0
