Item #	Title	Seller Part #	SBN Inventory	SBS Inventory	Sessions	Session Percentage	Page Views	Page Views Percentage	Orders Sold	Sales	Units Sold	Unit Session Percentage
9SIBFJ5K683450	5 Core Inc. Karaoke Microphone Bluetooth Mic Portable Handheld Wireless Singing Machine Cordless Microfonos - WM SPK COPPER	WM SPK COPPER	0	577	146	5.16%	149	5.20%	17	172.95	17	11.26%
9SIBFJ5J9J1258	5 Core Professional Omnidirectional Lavalier Microphone 3.5mm Clip-On Lapel Mic for Smartphone DSLR Camera PC Interview Video Camcorders Audio Recorder 5 Core CM MOB 2M	CM MOB 2M	0	463	128	4.53%	137	4.78%	7	67.06	7	5.07%
9SIBFJ5KY48509	5Core Capo Acoustic Electric Guitar 4Pcs 6 String Kapo Clip For Banjo Mandolin Ukulele	CAPO RED 4Pk	0	44	126	4.46%	126	4.40%	8	78.92	8	4.76%
9SIBFJ5K683891	5 Core Inc. Karaoke Microphone Bluetooth Mic Portable Handheld Wireless Singing Machine Cordless Microfonos - WM SPK PINK	WM SPK PINK	0	198	95	3.36%	94	3.28%	8	81.2	8	14.89%
9SIBFJ5K230840	5 Core Guitar Foot Stool Height Adjustable Folding Leg Rest Classical Footrest	GFS RED	0	129	74	2.62%	73	2.55%	1	11.37	1	1.35%
9SIBFJ5K685256	5 Core Inc. Karaoke Microphone Bluetooth Mic Portable Handheld Wireless Singing Machine Cordless Microfonos - WM SPK GLD	WM SPK GLD	0	267	67	2.37%	69	2.41%	2	20.58	2	2.86%
9SIBFJ5K209966	5 Core Guitar Wall Mount, Black Guitar Wall Hanger| 3 Pieces Guitar Hanger| V-Shaped Secure and Sturdy Guitar Holder Wall Mount| Guitar Accessories for Acoustic, Electric, Bass Guitar, Mandolin- GH ST	GH ST 3PCS	0	464	65	2.30%	65	2.27%	2	21.46	2	1.54%
9SIBFJ5KY48730	5 Core Mic Stand 4 Pcs Floor Height Adjustable Tripod Microphone Stands w Extending Telescoping Boom Arm	MS DBL G D-BLU 4pcs	0	34	62	2.19%	62	2.16%	0	0	0	0
9SIBFJ5KB18949	5 Core Mic Stand Adapter 12 Pieces 5/8 Female to 1/4 Inch Male Screw Thread Conversion Connector for Microphone Stands Boom Arms Camera Tripod - 5/8 Female to 1/4 Inch Male	MS ADP M SLV 58-14 12PCS	0	90	62	2.19%	63	2.20%	0	0	0	0
9SIBFJ5JMS5177	5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable Guitar Seat Folding Portable Musician Chair w Nonslip Rubber Feet Black - KBB 02 BLK	KBB 02 BR	0	64	61	2.16%	61	2.13%	0	0	0	0
9SIBFJ5JUR6302	5 Core Microphone Pop Filter Windscreen Mic Sponge Cover Foam For Karaoke Black & PINK SPONGE	SPONGE	0	537	59	2.09%	57	1.99%	0	0	0	0
9SIBFJ5KY48511	5 Core Guitar Picks 12 Piece Celluloid Light Medium Heavy Extra Heavy for Acoustic Electric Guitars	G PICK MIX BLU 12PK	0	38	58	2.05%	56	1.95%	0	0	0	0
9SIBFJ5KB36722	5 Core Microphone Clip Holder 4 Pieces with Screw Adapters 5/8 to 3/8 Inch - MC-03 4PCS	MC-03 4PCS	0	299	56	1.98%	56	1.95%	0	0	0	0
