Campaign activities	Channel	Type	Sessions	Sales	Orders	Conversion rate	Cost	ROAS	CPA	CTR	AOV	Orders from new customers	Orders from returning customers
6.89096E+12	Facebook	paid	6,130	$316.74	5	0.08%	—	—	—	—	$63.35	5	0
{{campaign_name}}	Facebook	paid	1,693	$1,000.92	22	1.30%	—	—	—	—	$45.50	19	3
(No name)	Facebook	paid	689	$713.49	16	2.32%	—	—	—	—	$44.59	14	2
120247588102310496	Facebook	paid	545	$812.51	14	2.57%	—	—	—	—	$58.04	13	1
120228905985000496	Facebook	paid	535	$167.73	3	0.56%	—	—	—	—	$55.91	3	0
120214559208410496	Facebook	paid	483	$255.89	9	1.86%	—	—	—	—	$28.43	8	1
120229241993040496	Facebook	paid	480	$70.58	2	0.42%	—	—	—	—	$35.29	2	0
120214563977100496	Facebook	paid	394	$319.94	4	1.02%	—	—	—	—	$79.99	4	0
120232736484000496	Facebook	paid	351	$73.18	2	0.57%	—	—	—	—	$36.59	1	1
120229247121340496	Facebook	paid	346	$196.42	2	0.58%	—	—	—	—	$98.21	2	0
120214554973940496	Facebook	paid	343	$138.97	3	0.87%	—	—	—	—	$46.32	3	0
120214565544660496	Facebook	paid	333	$211.94	7	2.10%	—	—	—	—	$30.28	6	1
120214553654000496	Facebook	paid	333	$136.69	1	0.30%	—	—	—	—	$136.69	1	0
120228840892480496	Facebook	paid	321	$0.00	0	0%	—	—	—	—	—	0	0
120214558943310496	Facebook	paid	304	$158.94	6	1.97%	—	—	—	—	$26.49	6	0
120229769099830496	Facebook	paid	304	$0.00	0	0%	—	—	—	—	—	0	0
120223053174030496	Facebook	paid	291	$322.96	4	1.37%	—	—	—	—	$80.74	4	0
120228674242530496	Facebook	paid	283	$113.16	3	1.06%	—	—	—	—	$37.72	3	0
120223525639210496	Facebook	paid	280	$223.96	4	1.43%	—	—	—	—	$55.99	4	0
120247501787500496	Facebook	paid	274	$293.39	7	2.55%	—	—	—	—	$41.91	5	2
120247363140690496	Facebook	paid	271	$217.98	3	1.11%	—	—	—	—	$72.66	3	0
120228805903950496	Facebook	paid	270	$164.39	4	1.48%	—	—	—	—	$41.10	3	1
120229281131150496	Facebook	paid	255	$34.15	2	0.78%	—	—	—	—	$17.08	2	0
120228854960690496	Facebook	paid	255	$245.59	7	2.75%	—	—	—	—	$35.08	7	0
120230059854560496	Facebook	paid	252	$183.92	4	1.59%	—	—	—	—	$45.98	4	0
120228670000390496	Facebook	paid	241	$91.97	2	0.83%	—	—	—	—	$45.99	2	0
120229356823160496	Facebook	paid	237	$0.00	0	0%	—	—	—	—	—	0	0
120228684753860496	Facebook	paid	233	$23.99	1	0.43%	—	—	—	—	$23.99	1	0
120229336399670496	Facebook	paid	226	$62.71	4	1.77%	—	—	—	—	$15.68	4	0
120229926483620496	Facebook	paid	226	$0.00	0	0%	—	—	—	—	—	0	0
120238876055900496	Facebook	paid	222	$680.47	10	4.50%	—	—	—	—	$68.05	7	3
120230079150330496	Facebook	paid	214	$79.98	2	0.93%	—	—	—	—	$39.99	1	1
120247512105290496	Facebook	paid	214	$53.98	1	0.47%	—	—	—	—	$53.98	1	0
120230058589180496	Facebook	paid	210	$232.15	5	2.38%	—	—	—	—	$46.43	4	1
120214553420170496	Facebook	paid	209	$27.99	1	0.48%	—	—	—	—	$27.99	1	0
120228900260470496	Facebook	paid	200	$0.00	0	0%	—	—	—	—	—	0	0
120228633699330496	Facebook	paid	198	$71.98	2	1.01%	—	—	—	—	$35.99	1	1
120230260529200496	Facebook	paid	197	$195.11	5	2.54%	—	—	—	—	$39.02	4	1
120229342542920496	Facebook	paid	191	$85.65	2	1.05%	—	—	—	—	$42.83	2	0
120229613886200496	Facebook	paid	189	$174.06	2	1.06%	—	—	—	—	$87.03	2	0
120239273334010496	Facebook	paid	186	$59.99	1	0.54%	—	—	—	—	$59.99	1	0
120228636411770496	Facebook	paid	179	$0.00	0	0%	—	—	—	—	—	0	0
120228928535610496	Facebook	paid	176	$103.83	3	1.70%	—	—	—	—	$34.61	3	0
120223064025890496	Facebook	paid	175	$26.45	1	0.57%	—	—	—	—	$26.45	1	0
120229288643890496	Facebook	paid	171	$54.73	2	1.17%	—	—	—	—	$27.37	2	0
120229668209950496	Facebook	paid	165	$59.99	1	0.61%	—	—	—	—	$59.99	1	0
120214582836600496	Facebook	paid	165	$55.98	1	0.61%	—	—	—	—	$55.98	1	0
120229285541090496	Facebook	paid	163	$0.00	0	0%	—	—	—	—	—	0	0
120229362975770496	Facebook	paid	163	$37.57	2	1.23%	—	—	—	—	$18.79	1	1
120230081340230496	Facebook	paid	161	$0.00	0	0%	—	—	—	—	—	0	0
