Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Taxes on non-order income	Number of items sold	Province	City	Buyer Tax ID	ID card	Seller Tax ID	Product Origin
Order Type	Order Number	Exchange Order	Order Status	Shipment Mode	Urged or not	Is it lost	whether to stay	Order Issue	Product Name	Product Description	Specification	Seller SKU	SHEIN-SKU	SKC	Item ID	Product Status	Inventory ID	Exchange ID	Reason for replacement	Product ID to be exchanged	Locked or not	Order Processed On	Collection Deadline	Requested Shipping Time	Required Delivery Date (Performance Evaluation)	Delivery Time	Tracking Number	Seller's Package	Seller Currency	Product Price	Coupon Discount	Store Campaign Discount	Referral Fees	Estimated merchandise revenue	Fulfillment Service Fee	Storage Fee	Sales Tax	Number of items sold	Province	City	Buyer Tax ID	ID card	Seller Tax ID	Product Origin
Normal Order	GSU18717100NJYE		Pending Shipment		No	No	No	No	5 Core Speaker Stand Pair Adjustable Heavy Duty DJ PA Stands	SS HD 1PK 4FT	Black(黑色)-	SS HD 1PK 4FT	I18bt8ckvpuq	sl25042923538843880	19286608463	Pending Shipment	Stocking	Not replaced			No	2026-July-13 12:40			2026-July-23 00:59			GU2607140865529860	USD	15.42	0	0	1.85	13.57	0	0	1.35	1	CALIFORNIA	Farmersville				
Normal Order	GSU18716N001NSC		Pending Pickup	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19285818543	Pending Pickup	Stocking	Not replaced			No	2026-July-13 11:24			2026-July-23 00:59		9334610990370298969528	GWU2607140642159617	USD	15.19	0	0	1.22	13.97	0	0	1.31	1	MINNESOTA	Bemidji				
Normal Order	GSU18Y43500MC64		Pending Pickup	direct	No	No	No	No	5 Core Megaphone 50W Bull Horn PA Speaker W 300M Range Loud Siren Voice Amplifier Portable	20RF	White(白色)-	20RF	I04pnxzs9oid	se25050448113311111	19280028593	Pending Pickup	Stocking	Not replaced			No	2026-July-12 21:35			2026-July-22 00:59		GFUS01061716906560	GWU2607134463500289	USD	27.99	0	0	2.24	25.75	0	0	1.18	1	MISSOURI	Saint Louis				
Normal Order	GSU18Y55T005078		Pending Pickup	direct	No	No	No	No	5 CORE Micrófono inalámbrico Bluetooth de 5 núcleos con altavoz para karaoke	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19279722178	Pending Pickup	Stocking	Not replaced			No	2026-July-12 21:15			2026-July-22 00:59		GFUS01061716846085	GWU2607134463498241	USD	11.49	0	0	0.92	10.57	0	0	0.69	1	PENNSYLVANIA	Philadelphia				
Normal Order	GSU18Y24T00W4NC		Pending Pickup	direct	No	No	No	No	5 CORE 5Core Microphone Stand Floor Adjustable Boom Arm	MS 080 WH	White(白色)-	MS 080 WH	I08bt7a36dre	sl25042900807637044	19279693268	Pending Pickup	Stocking	Not replaced			No	2026-July-12 21:13			2026-July-22 00:59		GFUS01061716811008	GWU2607134463434752	USD	17.84	0	0	2.14	15.7	0	0	1.48	1	NORTH CAROLINA	Charlotte				
Normal Order	GSU18Y49T000DEU		Pending Pickup	direct	No	No	No	No	5 CORE Megáfono de toro de 30W, altavoz potente con un rango de 800 yardas, megáfono portátil con control de volumen, función de grabación, sirena y bocina para niños y adultos, ideal para animadoras, fútbol y prácticas al aire libre - 6R	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19279138268	Pending Pickup	Stocking	Not replaced			No	2026-July-12 20:38			2026-July-22 00:59		GFUS01061716768258	GWU2607134463366147	USD	15.19	0	0	1.22	13.97	0	0	1.25	1	TEXAS	Bryan				
Normal Order	GSU18Y22T00MYRL		Pending Pickup	direct	No	No	No	No	5 CORE Micrófono portátil BT 2 2 piezas, micrófono portátil todo en 1 con grabadora de altavoz Microfono Inalambrico - WM SPK PNK+BLU	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19279065663	Pending Pickup	Stocking	Not replaced			No	2026-July-12 20:33			2026-July-22 00:59		GFUS01061716703424	GWU2607134463300608	USD	15.99	0	0	1.28	14.71	0	0	1.32	1	TEXAS	Mckinney				
Normal Order	GSU18Y20Q0004DM		Pending Pickup	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19277947678	Pending Pickup	Stocking	Not replaced			No	2026-July-12 19:24			2026-July-22 00:59		GFUS01061716657668	GWU2607134463301636	USD	11.49	0	0	0.92	10.57	0	0	0.75	1	FLORIDA	Ocoee				
Normal Order	GSU18Y39200QS17		Pending Pickup	direct	No	No	No	No	5 CORE Trípode ajustable de 31 a 76 pulgadas con brazo de jirafa, soporte de micrófono giratorio 360 grados y doble micrófono - MS DBL G YLW	MS DBL G YLW	Yellow(黄色)-	MS DBL G YLW	I74n755ucsp2	sl25042927273760867	19273686518	Pending Pickup	Stocking	Not replaced			No	2026-July-12 14:16			2026-July-22 00:59		GFUS01061627930112	GWU2607131611951105	USD	15.99	0	0	1.92	14.07	0	0	1.2	1	OHIO	Dayton				
