Category	Category id	Product name	Contribution Goods	SKU	Goods ID	SKU ID	Variation	Quantity	Base price	External Product ID Type	External product ID	Status	Detail status	Date created	Incomplete product information
Electronics/Car & Vehicle Electronics/Car Electronics/Car Audio/Subwoofers/Component Subwoofers	4459	5 Core 4 Inch Subwoofer Pair 200W Car Audio Sub Woofer 4 Ohm Deep Bass Replacement Loud Speaker	PARENT 04 WF	WF 4INCH	610910961802157	170467251982528	4 Inch	56	9.64			Active	Active	01/09/2026 10:58:58	
Electronics/Car & Vehicle Electronics/Car Electronics/Car Audio/Subwoofers/Component Subwoofers	4459	5 Core 6.5 Inch 6" Car Subwoofer Speaker 4 Ohm Woofer Replacement Driver	PARENT 06 CW	WF 6.5 100 PP 4OHM	610361206002555	161671158978949	6.5 " Woofer 500W 4OHM	120	19.69			Active	Active	01/09/2026 10:58:57	
Electronics/Car & Vehicle Electronics/Car Electronics/Car Audio/Subwoofers/Component Subwoofers	4459	5 Core 6.5 Inch 6" Car Subwoofer Speaker 4 Ohm Woofer Replacement Driver	PARENT 06 CW	WF 672 1 PC	610361206002555	161671159011717	6" Woofer 300W 4OHM	373	11.97			Active	Active	01/09/2026 10:58:57	
Sports & Outdoors/Sports & Outdoor Recreation Accessories/Coach & Referee Gear/Megaphones	31552	5 Core Megaphone 60W Bull Horn Professional PA Speaker w 1200 Yards Range Loud Siren Voice Amp	PARENT MEGA 77SF	77SF	610017608596618	172666275275941	60W	117	35.21			Active	At Risk	01/09/2026 10:58:56	
Sports & Outdoors/Sports & Outdoor Recreation Accessories/Coach & Referee Gear/Megaphones	31552	5 Core Megaphone 50W Bull Horn PA Speaker w 300M Range Loud Siren Voice Amplifier Portable	PARENT MEGA 20F	20RF	610910961777716	161671158983863	50W	5	28.47			Active	Active	01/09/2026 10:58:56	
Musical Instruments/Instrument Accessories/Guitar & Bass Accessories/Stands, Hangers & Racks/Hangers/Single	17946	5 Core Guitar Wall Mount Secure Locking Hanger Adjustable Acoustic bass Holder	PARENT GHOOK	GH ABS YLW	610910961794584	172666275235579	Guitar Holder ABS Made Yellow 1PC	354	8.32			Active	Active	01/09/2026 10:33:00	
Musical Instruments/Instrument Accessories/Guitar & Bass Accessories/Stands, Hangers & Racks/Hangers/Single	17946	5 Core Guitar Wall Mount Secure Locking Hanger Adjustable Acoustic bass Holder	PARENT GHOOK	GH ABS R 1PC	610910961794584	172666275251963	Guitar Holder ABS Made Black & Red 1PC	459	8.45			Active	Active	01/09/2026 10:33:00	
Musical Instruments/Instrument Accessories/Guitar & Bass Accessories/Stands, Hangers & Racks/Hangers/Single	17946	5 Core Guitar Wall Mount Secure Locking Hanger Adjustable Acoustic bass Holder	PARENT GHOOK	GH ST 3PCS	610910961794584	172666275265275	Guitar Holder Steel Black 3PC	465	7.79			Active	Active	01/09/2026 10:33:00	
Musical Instruments/Instrument Accessories/Guitar & Bass Accessories/Stands, Hangers & Racks/Hangers/Single	17946	5 Core Guitar Wall Mount Secure Locking Hanger Adjustable Acoustic bass Holder	PARENT GHOOK	GH ABS 1pc	610910961794584	172666275268347	Guitar Holder ABS Made Black 1PC	2	8.99			Active	Active	01/09/2026 10:33:00	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 50 BLK	610086328054688	159472135700682	Guitar Amplifier 50W Black	91	91.95			Active	At Risk	01/09/2026 05:55:04	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 20W GL BLK	610086328054688	159472135708874	Guitar Amplifier 20W Golden Black	100	33.99			Active	At Risk	01/09/2026 05:55:04	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 20 BLK NW	610086328054688	159472135717066	Guitar Amplifier 20W Black	198	56.31			Active	At Risk	01/09/2026 05:55:04	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 20W BLK-WH	610086328054688	159472135725258	Guitar Amplifier 20W Black & White	346	39.77			Active	At Risk	01/09/2026 05:55:04	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 80W GLD-BLK	610086328054688	159472135733450	Guitar Amplifier 80W Black & Gold	100	106.39			Active	At Risk	01/09/2026 05:55:04	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 20 ORG	610086328054688	159472135741642	Guitar Amplifier 20W Orange	198	48.63			Active	At Risk	01/09/2026 05:55:04	
Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps/Acoustic Guitar Amplifiers & Preamps/Amplifiers	18640	5 Core Electric Guitar Amplifier – Portable Practice Amp with Built‑in Speaker & AUX/Headphone Jack (20W / 50W / 80W Variations)	PARENT G AMP	GA 50W GLD-BLK	610086328054688	159472135749834	Guitar Amplifier 50W Black & Gold	197	81.61			Active	At Risk	01/09/2026 05:55:04	
Electronics/Home Audio/Home Audio Accessories/Connectors & Adapters	4111	5Core Speakon Adapter High Quality Audio Jack Male Audio Pin Speaker Adapter Connector	PARENT SPEAKON 2PCS	SPKN BLU 2PCS	610086328066356	163870182233102	Male Connector	63	6.98			Active	Active	01/09/2026 05:46:30	
