Campaign name	Campaign ID	Product ID	Creative type	Video title	Video ID	TikTok account	Time posted	Status	Exploration secondary status	Authorization type	Cost	SKU orders	Cost per order	Gross revenue	Product ad impressions	Product ad clicks	Product ad click rate	Ad conversion rate	2-second ad video view rate	6-second ad video view rate	25% ad video view rate	50% ad video view rate	75% ad video view rate	100% ad video view rate	Currency
TRIPOD MIC STAND	1872057135332658	1731768237679546414	Video	About Item: 【Height Adjustable Mic Stand】– Easily raise or lower the microphone position from 18 to 72 inches, making it perfect for both stage and studio use. 【Extendable Boom】– 29.5-inch overhead telescoping arm with crossbar adjustment. Rotates 180 degrees for precise positioning. 【Super Tough Build】– This pedestal para micrófono features durable metal construction, reinforced joints, and a clutch system, supporting up to 4.5 lbs. 【Super Stable Mic Stand】– Tripod legs provide excellent stability, while the wider base prevents tipping, even on uneven surfaces. 【Portable Design】– Folds and assembles in minutes, making it easy to carry and store in compact spaces. Product Description Improve your performance with our height-adjustable tripod boom mic stand, offering a range from 18 inches to 72 inches. The extendable boom arm has a length of 29.5 inches, and it can rotate 180 degrees, providing versatile positioning. Built from heavy-duty metal, this microphone boom stand features sturdy legs with rubber caps, ensuring stability on any surface. Its reinforced clutch supports up to 4.5 lbs. Designed for convenience, the pedestal para microfono collapses for easy assembly and storage, making it highly portable. Enhance your audio setup with this reliable, adjustable, and portable floor mic stand. Important Note- Kindly place the boom arm parallel to the leg for maximum stability. Features UNIVERSAL MIC HOLDER ANGLE ADJUSTMENT WIRE MANAGEMENT FOLDABLE TRIPOD The included clip in the package accommodates most handheld dynamic microphones. It also features an anti-slip design. The boom arm rotates up-to 180 degrees, making it perfect for use during standing or while seated. Ideal for kids and adults. The boom mic stand comes with wire clip. It helps to eliminate loose cables and tidy up setup. Also reduce any trip hazard. The tripod legs offer great stability and increased weight capacity. They are also foldable to ensure easy carrying. Technical Specification: Color: Red Build Material- Metal Maximum Tripod Height- 18 Inch Minimum Tripod Height- 72 Inch Boom Arm Length- 29.5 Inch Package Includes: 2x Tripod Mic Stand 2x Mic Holder 2x Windscreen foam 2x Screw ...	7620962051770305805	5 Core Inc	2026-03-24 18:05	Explored	Outstanding	TikTok Shop official account	181.440	9	20.160	307.910	7783	261	3.35%	1.53%	19.97%	7.94%	5.39%	3.24%	2.10%	1.12%	USD
TRIPOD GUITAR STAND	1872023345120273	1730947832891084846	Product card	-	N/A	-	-	Exploring	Exploring	N/A	34.362	6	5.727	174.170	11752	180	1.53%	1.11%	-	-	-	-	-	-	USD
GUITAR RACK	1872024508866833	1730947803877576750	Product card	-	N/A	-	-	Exploring	Exploring	N/A	117.208	5	23.442	152.940	16311	236	1.45%	1.27%	-	-	-	-	-	-	USD
TRIPOD GUITAR STAND	1872023345120273	1730947836859945006	Product card	-	N/A	-	-	Exploring	Exploring	N/A	32.596	7	4.657	124.930	11686	183	1.57%	0.00%	-	-	-	-	-	-	USD
PROJECTOR STAND	1872069773823521	1732271473080569902	Product card	-	N/A	-	-	Exploring	Exploring	N/A	115.085	2	57.542	122.970	4876	74	1.52%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732438381824348206	Product card	-	N/A	-	-	Exploring	Exploring	N/A	13.532	1	13.532	119.990	10317	123	1.19%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731036633295130670	Product card	-	N/A	-	-	Exploring	Exploring	N/A	20.148	5	4.030	119.410	14636	224	1.53%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768187410419758	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.780	2	1.890	109.970	4182	61	1.46%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732351723831005230	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.858	2	3.429	106.530	7382	148	2.00%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731036646209458222	Product card	-	N/A	-	-	Exploring	Exploring	N/A	12.456	2	6.228	103.160	10572	199	1.88%	0.50%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768222683533358	Product card	-	N/A	-	-	Exploring	Exploring	N/A	10.851	3	3.617	98.970	8204	169	2.06%	0.59%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732077458174349358	Product card	-	N/A	-	-	Exploring	Exploring	N/A	20.069	1	20.069	95.510	10792	139	1.29%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732438381090476078	Product card	-	N/A	-	-	Exploring	Exploring	N/A	11.751	1	11.751	93.990	10232	120	1.17%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732270341078093870	Product card	-	N/A	-	-	Exploring	Exploring	N/A	16.325	1	16.325	93.990	10338	118	1.14%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730941377171460142	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.288	4	1.572	87.890	3173	50	1.58%	0.00%	-	-	-	-	-	-	USD
TRIPOD GUITAR STAND	1872023345120273	1730947832891084846	Video	Store like a pro 🎶 5CORE Adjustable Double Guitar Stand | Floor mount with neck holders | Perfect for acoustic, electric & bass guitars 🛒 Keep your instruments safe & organized! #5CoreAudio #GuitarStand #MusicianGear #GuitarStorage #ElectricGuitar #AcousticGuitar #BassGuitar #StudioGear #TikTokShop #TikTokMadeMeBuyIt #5core	7541870779474955575	5 Core Inc	2025-08-28 11:30	Explored	Outstanding	TikTok Shop official account	70.504	3	23.501	87.170	2525	53	2.10%	5.66%	24.34%	8.67%	2.93%	1.38%	0.88%	0.25%	USD
KEYBOARD STAND	1872054276884850	1731768320928878638	Product card	-	N/A	-	-	Exploring	Exploring	N/A	31.486	3	10.495	83.970	17092	263	1.54%	0.76%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731757085025931310	Product card	-	N/A	-	-	Exploring	Exploring	N/A	15.180	2	7.590	77.980	8669	167	1.93%	0.60%	-	-	-	-	-	-	USD
DESKTOP MIC	1871983617697873	1730952076306714670	Product card	-	N/A	-	-	Exploring	Exploring	N/A	249.203	7	35.600	74.930	18312	351	1.92%	0.85%	-	-	-	-	-	-	USD
PA HORN	1872024403405202	1731762963637178414	Product card	-	N/A	-	-	Exploring	Exploring	N/A	83.756	2	41.878	74.080	8776	155	1.77%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730947833427759150	Product card	-	N/A	-	-	Exploring	Exploring	N/A	5.913	3	1.971	72.780	1941	22	1.13%	4.55%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732159721738309678	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.393	1	3.393	71.490	1136	17	1.50%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768221624733742	Product card	-	N/A	-	-	Exploring	Exploring	N/A	12.611	2	6.305	67.980	8622	179	2.08%	0.56%	-	-	-	-	-	-	USD
GUITAR RACK	1872024508866833	1730947797917012014	Product card	-	N/A	-	-	Exploring	Exploring	N/A	30.959	2	15.480	66.480	9905	147	1.48%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1732270938892177454	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.849	2	2.424	63.980	4476	67	1.50%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768186015289390	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.803	2	2.401	63.980	4324	73	1.69%	0.00%	-	-	-	-	-	-	USD
GUITAR RACK	1872024508866833	1730947820494491694	Product card	-	N/A	-	-	Exploring	Exploring	N/A	27.196	2	13.598	59.340	9558	145	1.52%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731775861187383342	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.132	1	3.132	56.990	3169	54	1.70%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768296322404398	Product card	-	N/A	-	-	Exploring	Exploring	N/A	9.922	1	9.922	55.220	7637	162	2.12%	1.23%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768241481551918	Product card	-	N/A	-	-	Exploring	Exploring	N/A	5.412	1	5.412	54.990	4310	71	1.65%	0.00%	-	-	-	-	-	-	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1730947746146390062	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.918	2	4.459	51.980	4711	49	1.04%	2.04%	-	-	-	-	-	-	USD
TRIPOD GUITAR STAND	1872023345120273	1730952190564012078	Video	Rock-solid support for your guitars 🎶 5CORE Heavy-Duty Floor Guitar Stand | Adjustable w/ neck holder | Perfect for acoustic, electric, classic & bass guitars 🛒 #5CoreAudio #GuitarStand #MusicianGear #GuitarStorage #ElectricGuitar #AcousticGuitar #BassGuitar #StudioGear #TikTokShop #TikTokMadeMeBuyIt #5core	7541873909990182158	5 Core Inc	2025-08-28 14:30	Explored	Performing	TikTok Shop official account	41.504	2	20.752	51.330	1013	28	2.76%	10.71%	20.93%	7.48%	2.53%	1.42%	1.01%	0.40%	USD
PA HORN	1872024403405202	1731762957789270062	Product card	-	N/A	-	-	Exploring	Exploring	N/A	170.002	2	85.001	49.980	20639	260	1.26%	0.38%	-	-	-	-	-	-	USD
TRIPOD GUITAR STAND	1872023345120273	1730952190564012078	Product card	-	N/A	-	-	Exploring	Exploring	N/A	38.475	3	12.825	49.600	11662	188	1.61%	0.00%	-	-	-	-	-	-	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1731036632926883886	Product card	-	N/A	-	-	Exploring	Exploring	N/A	7.352	1	7.352	49.040	4478	44	0.98%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730941372173815854	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.264	1	3.264	47.980	2912	43	1.48%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768293833347118	Product card	-	N/A	-	-	Exploring	Exploring	N/A	10.222	1	10.222	47.980	7871	156	1.98%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731829311327408174	Product card	-	N/A	-	-	Exploring	Exploring	N/A	17.177	2	8.588	42.470	13705	222	1.62%	0.00%	-	-	-	-	-	-	USD
PROJECTOR STAND	1872069773823521	1732271473080569902	Video	Highlighted Features 【3 in 1 Multi-Tray Projector Stand】Designed for convenience, this projector stand tripod features a large upper tray (11.22” x 15.16”) for projectors or laptops, plus two side and lower trays for accessories, remotes, phones, or cables—keeping everything organized and within reach. 【Easy Height Adjustment for Any Setup】Change the height from 29.5” to 71” to suit seated or standing use. Whether you need a projector tripod stand for meetings or a portable projector stand for events, this flexible design ensures optimal viewing and professional alignment every time. 【Heavy-Duty & Stable Stand】This heavy duty projector stand is engineered to support up to 33 lb, making it ideal for projectors, laptops, tablets, and streaming equipment. Built with a durable iron frame, it delivers reliable stability for home theaters, offices, classrooms, and live presentations. 【180 Adjustable Angle】The top tray offers a full 180-degree tilt, allowing you to easily set the perfect projection or working angle. This makes it a versatile projector holder stand and laptop tripod stand for presentations, DJ setups, virtual meetings, or movie nights. 【Comfortable, Portable & Easy to Use】Foam padding and sponge support help protect your devices from slipping or scratches. Lightweight yet sturdy, this adjustable projector stand is easy to assemble, move, and store—perfect for anyone needing reliable projector stands at home or on the go. Product Description Upgrade your setup with this adjustable projector stand designed for stability, flexibility, and everyday convenience. Built with a strong iron frame, it supports up to 33 lb and securely holds projectors, laptops, or streaming devices. The height adjusts from 29.5" to 71", making it suitable for seated or standing use at home, in the office, or during presentations. A 180-degree tilt allows precise angle control for clear projection and comfortable viewing. The multi-tray design keeps accessories organized, while padded surfaces help protect your equipment. Easy to assemble and portable, this projector stand offers a reliable solution for versatile setups.Please Note- Laptop and Projector shown in images are ...	7620961860648504589	5 Core Inc	2026-03-24 18:04	Ineligible	Unavailable	TikTok Shop official account	142.141	1	142.141	40.990	2300	25	1.09%	4.00%	17.23%	7.20%	5.80%	3.06%	2.43%	1.93%	USD
SPEAKER STAND	1872055844656625	1731767373053005870	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.323	1	3.323	40.940	3126	56	1.79%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731036634418941998	Product card	-	N/A	-	-	Exploring	Exploring	N/A	14.066	2	7.033	40.460	11334	184	1.62%	0.54%	-	-	-	-	-	-	USD
